,"How to use this sheet: This sheet is designed to allow you to track your progress.  
Once you have mastered a grammar point or vocabulary / kanji  change the selector in Yes and your progress percentage will update",,
,,,
,Copyright © 2019 Coto Japanese Academy,,
,https://www.cotoacademy.com,,
,This is a read only version - go to FILE > MAKE A COPY to download to your own google drive,,
Grammar Point,Mastered?,Percent Completed,Grammar Points Mastered
,,0.00%,0
つもりです,FALSE,,
～んです,FALSE,,
ので,FALSE,,
は,FALSE,,
～ましょう,FALSE,,
～のがじょうずです,FALSE,,
～まえに,FALSE,,
～のほうが～より,FALSE,,
～にいく,FALSE,,
～がいます,FALSE,,
～く/ ～になる,FALSE,,
～のがへたです,FALSE,,
～てください,FALSE,,
～たり …～たりする,FALSE,,
～てもいいです,FALSE,,
～があります,FALSE,,
です,FALSE,,
～なくちゃいけない,FALSE,,
～のがすきです,FALSE,,
～ている,FALSE,,
や,FALSE,,
を,FALSE,,
～てはいけません,FALSE,,
stem +たいです,FALSE,,
ないでください,FALSE,,
でしょう,FALSE,,
～ませんか,FALSE,,
まだ～ていません,FALSE,,
で,FALSE,,
～から,FALSE,,
も,FALSE,,
と,FALSE,,
～すぎる,FALSE,,
～ほうがいい,FALSE,,
に,FALSE,,
～のなかで～がいちばん～,FALSE,,
～ましょうか,FALSE,,
～てから,FALSE,,
～たことがある,FALSE,,
に/へ,FALSE,,